Nombre,Latitud,Longitud
"Carretera 711 (1), inicio",22.612638,-103.89186
"Carretera 711 (1), fin",22.516314,-103.893261
"Carretera 711 (2), inicio",21.861068,-103.821398
"Carretera 711 (2), fin",21.846879,-103.773905
"Carretera 706, inicio",22.619812,-103.900521
"Carretera 706, fin",22.495292,-103.765804
"Carretera 718, inicio",22.396169,-103.73314
"Carretera 718, fin",22.321725,-103.735702
"Carretera 712, inicio",22.336611,-103.361822
"Carretera 712, fin",22.353137,-103.209308
"Carretera 703, inicio",22.243667,-103.205428
"Carretera 703, fin",22.272589,-103.172249
"Carretera 714, inicio",22.202097,-103.211094
"Carretera 714, fin",22.207198,-103.100468
"Carretera 704 (1), inicio",21.978199,-103.509643
"Carretera 704 (1), fin",21.976543,-103.522938
"Carretera 704 (2), inicio",21.984309,-103.526536
"Carretera 704 (2), fin",21.979744,-103.526871
"Carretera 710, inicio",21.865086,-103.771089
"Carretera 710, fin",21.811665,-103.782614
"Carretera 717, inicio",21.82352,-103.784026
"Carretera 717, fin",21.824353,-103.787909
